Insurance Provider,Gender,Age,Occupation,Marital Status,Family Size,Income,Expenditure,Loan Category,Loan Amount,Pending Payemnt
Prudential,MALE,31,AIRPORT OFFICER,MARRIED,6,50000,43518,COMPUTER SOFTWARES,754507,37106
Prudential,MALE,31,TEACHER,MARRIED,7,40801,26025,AUTOMOBILE,745310,50509
Prudential,MALE,31,SYSTEM MANAGER,SINGLE,4,38401,27512,RESTAURANTS,744697,42166
Prudential,MALE,31,AGRICULTURAL ENGINEER,MARRIED,2,76610,46744,HOUSING,782943,38192
Prudential,MALE,31,SOFTWARE ENGINEER,SINGLE,5,50454,32210,SHOPPING,763036,36762
Prudential,MALE,31,DRIVER,MARRIED,4,39431,24007,AUTOMOBILE,753881,73586
Prudential,MALE,32,TEACHER,MARRIED,7,30801,23025,AUTOMOBILE,745310,60509
Prudential,MALE,32,BANK MANAGER,MARRIED,7,51346,21710,DINNING,766547,21170
Prudential,MALE,32,SYSTEM MANAGER,MARRIED,2,71477,28652,SHOPPING,786718,78821
Prudential,MALE,32,ACCOUNT MANAGER,MARRIED,4,45600,19870,HOME APPLIANCES,765040,35700
Prudential,MALE,32,TEACHER,MARRIED,6,77627,43518,TRAVELLING,800400,19990
Prudential,MALE,32,ASSISTANT MANAGER,MARRIED,4,83357,24925,HOUSING,808369,32196
Prudential,MALE,32,PRODUCT ENGINEER,MARRIED,6,62387,20925,AUTOMOBILE,791131,17412
Prudential,MALE,32,PRODUCT ENGINEER,MARRIED,4,55147,35863,COMPUTER SOFTWARES,785241,19999
Prudential,MALE,32,NAVY,SINGLE,4,79699,32482,AUTOMOBILE,810206,57206
Prudential,MALE,32,SOFTWARE ENGINEER,SINGLE,5,30454,22210,SHOPPING,763036,37762
Prudential,MALE,32,SOFTWARE ENGINEER,SINGLE,4,55680,29000,AUTOMOBILE,789000,24000
Prudential,MALE,32,PROFESSOR,MARRIED,2,56180,21896,TRAVELLING,814059,84640
Prudential,MALE,32,PRODUCT ENGINEER,MARRIED,4,50147,45863,COMPUTER SOFTWARES,785241,19999
Prudential,MALE,33,PRODUCT ENGINEER,MARRIED,4,50147,45863,COMPUTER SOFTWARES,785241,19999
Prudential,MALE,33,SOFTWARE ENGINEER,SINGLE,4,49680,25000,GOLD LOAN,789000,24000
Prudential,MALE,33,PRODUCT ENGINEER,SINGLE,6,75250,28140,AUTOMOBILE,819281,27586
Prudential,MALE,33,AIRPORT OFFICER,MARRIED,7,48749,18330,SHOPPING,793130,14684
Prudential,MALE,33,CLERK,MARRIED,5,40560,38789,TRAVELLING,785000,29650
Prudential,MALE,33,DENTIST,MARRIED,5,81507,25958,AGRICULTURE,831263,63833
Prudential,MALE,33,TEACHER,MARRIED,2,65610,46683,BUSINESS,828744,71913
Prudential,MALE,34,TEACHER,SINGLE,5,55564,28097,AUTOMOBILE,822907,56157
Prudential,MALE,34,POLICE,MARRIED,4,33581,21618,RESTAURANTS,801924,60215
Prudential,MALE,34,PRODUCT ENGINEER,MARRIED,5,78777,45812,AUTOMOBILE,852416,17524
Prudential,MALE,34,PRODUCT ENGINEER,MARRIED,5,74757,45812,SHOPPING,852416,17524
Prudential,MALE,34,DATA ANALYST,MARRIED,4,77671,24112,TRAVELLING,859268,89027
Prudential,MALE,34,ACCOUNT MANAGER,MARRIED,4,52568,17647,GOLD LOAN,837703,22579
Prudential,MALE,34,PILOT,SINGLE,2,53068,36744,GOLD LOAN,870287,34551
Prudential,MALE,34,NAVY,SINGLE,3,76184,37555,AUTOMOBILE,868435,34235
Prudential,MALE,34,CLERK,MARRIED,2,34447,18409,AUTOMOBILE,828512,54143
Prudential,MALE,34,BANK MANAGER,MARRIED,6,58697,35734,HOME APPLIANCES,853065,16304
Prudential,MALE,34,DENTIST,SINGLE,4,46196,26603,COMPUTER SOFTWARES,841132,60537
Prudential,MALE,34,SYSTEM OFFICER,MARRIED,5,56780,24560,GOLD LOAN,854000,23700
Prudential,MALE,35,NURSE,MARRIED,5,43323,27877,TRAVELLING,841365,56142
Prudential,MALE,35,BUSINESS,SINGLE,6,74775,27970,HOUSING,879114,47103
Prudential,MALE,35,BANK MANAGER,MARRIED,5,60740,31245,GOLD LOAN,867590,46700
Prudential,MALE,35,TEACHER,MARRIED,4,75831,27487,GOLD LOAN,882714,73794
Prudential,MALE,35,SOFTWARE ENGINEER,MARRIED,5,76331,22583,RESTAURANTS,851351,89679
Prudential,MALE,35,DOCTOR,MARRIED,5,66138,21787,COMPUTER SOFTWARES,876711,31792
Prudential,MALE,35,DRIVER,SINGLE,7,66638,48705,AUTOMOBILE,878858,43350
Prudential,MALE,35,ACCOUNT MANAGER,MARRIED,4,67138,35632,COMPUTER SOFTWARES,865478,20145
Prudential,MALE,36,CLERK,MARRIED,3,41182,22773,HOUSING,855157,41755
Prudential,MALE,36,BANK MANAGER,MARRIED,5,73070,26306,TRAVELLING,887941,10604
Prudential,MALE,36,ELECTRICIAN,MARRIED,5,67214,20246,COMPUTER SOFTWARES,890480,46654
Prudential,MALE,36,TEACHER,SINGLE,2,77986,47143,BUSINESS,903614,55757
Prudential,MALE,36,CLERK,MARRIED,6,40883,14258,BUSINESS,867253,15947
Prudential,MALE,36,POLICE,SINGLE,6,62641,36687,HOUSING,898353,26901
Prudential,MALE,37,SOFTWARE ENGINEER,MARRIED,7,62522,14748,COMPUTER SOFTWARES,898938,44000
Prudential,MALE,37,BUSINESS,MARRIED,3,61508,26048,GOLD LOAN,899791,40479
Prudential,MALE,37,POLICE,SINGLE,5,71214,12463,RESTAURANTS,910960,70423
Prudential,MALE,37,DOCTOR,MARRIED,5,60000,25000,HOUSING,900000,21000
Prudential,MALE,37,SOFTWARE ENGINEER,MARRIED,4,43587,24799,GOLD LOAN,885302,31190
Prudential,MALE,37,NURSE,MARRIED,6,42490,25775,TRAVELLING,890564,67559
Prudential,MALE,38,BUSINESS,MARRIED,3,51508,22048,GOLD LOAN,899791,40479
Prudential,MALE,39,PUBLIC WORKS,MARRIED,6,41645,25095,COMPUTER SOFTWARES,890578,59922
Prudential,MALE,39,DRIVER,SINGLE,6,48332,20763,RESTAURANT,899714,66030
Prudential,MALE,39,CIVIL ENGINEER,MARRIED,4,58784,18480,AUTOMOBILE,914252,84095
Prudential,MALE,39,DRIVER,SINGLE,5,45457,25922,GOLD LOAN,905203,30211
Prudential,MALE,39,DATA ANALYST,MARRIED,4,57097,16144,TRAVELLING,917886,89636
Prudential,MALE,39,NAVY,MARRIED,7,63656,19910,BUSINESS,937743,54523
Prudential,MALE,39,NAVY,MARRIED,4,80188,28352,GOLD LOAN,959366,20815
Great Eastern,MALE,40,BUSINESS,MARRIED,6,73769,38186,RESTAURANT,954392,81465
Great Eastern,MALE,40,CLERK,MARRIED,4,32714,23632,GOLD LOAN,914249,36394
Great Eastern,MALE,40,DOCTOR,MARRIED,7,62600,22775,HOUSING,950922,28527
Great Eastern,MALE,40,BUSINESS,MARRIED,6,63769,33186,GOLD LOAN,954392,81465
Great Eastern,MALE,40,DRIVER,MARRIED,5,30000,15426,TRAVELLING,921456,20000
Great Eastern,MALE,40,DRIVER,MARRIED,5,30000,15426,TRAVELLING,921456,20000
Great Eastern,MALE,40,DRIVER,MARRIED,5,30000,15426,GOLD LOAN,921456,20000
Great Eastern,MALE,40,PRODUCT ENGINEER,MARRIED,4,32859,18441,AUTOMOBILE,945654,42078
Great Eastern,MALE,41,SOFTWARE ENGINEER,SINGLE,3,100340,29521,GOLD LOAN,1015508,89069
Great Eastern,MALE,41,ASSISTANT PROFESSOR,MARRIED,5,65214,42589,HOUSING,985412,11254
Great Eastern,MALE,41,ASSISTANT PROFESSOR,MARRIED,5,65214,42589,HOUSING,985412,11254
Great Eastern,MALE,41,AIRPORT OFFICER,MARRIED,7,56314,19648,EDUCATIONAL LOAN,977934,78193
Great Eastern,MALE,41,ELECTRICIAN,MARRIED,2,56985,26648,ELECTRONICS,985413,20000
Great Eastern,MALE,41,DRIVER,MARRIED,2,38558,21169,EDUCATIONAL LOAN,968932,48649
Great Eastern,MALE,41,CHARTERED APPRAISER,MARRIED,2,39058,39463,AUTOMOBILE,989600,30686
Great Eastern,MALE,41,NAVY,SINGLE,2,39558,25280,GOLD LOAN,964109,80308
Great Eastern,MALE,41,CLERK,MARRIED,5,54529,27102,COMPUTER SOFTWARES,988339,22119
Great Eastern,MALE,42,ACCOUNT MANAGER,MARRIED,7,45777,18452,GOLD LOAN,987611,39999
Great Eastern,MALE,42,ACCOUNT MANAGER,MARRIED,7,45777,18452,GOLD LOAN,987611,39999
Great Eastern,MALE,42,ACCOUNT MANAGER,MARRIED,7,45777,18452,GOLD LOAN,987611,39999
Great Eastern,MALE,42,ELECTRICIAN,MARRIED,2,36985,25648,AUTOMOBILE,985413,20000
Great Eastern,MALE,42,ELECTRICIAN,MARRIED,2,36985,25648,ELECTRONICS,985413,20000
Great Eastern,MALE,42,ELECTRICIAN,MARRIED,2,36985,25648,ELECTRONICS,985413,20000
Great Eastern,MALE,42,BANK MANAGER,SINGLE,4,50000,22199,HOUSING,1000000,42898
Great Eastern,MALE,42,DOCTOR,MARRIED,7,46921,21274,ELECTRONICS,999698,14360
Great Eastern,MALE,42,DENTIST,MARRIED,6,75640,32456,HOUSING,1035600,35400
Great Eastern,MALE,42,ACCOUNTANT,MARRIED,4,51568,29607,HOUSING,1013760,33446
Great Eastern,MALE,42,PILOT,SINGLE,2,76333,37037,BUSINESS,1042400,34044
Great Eastern,MALE,42,DOCTOR,SINGLE,2,76833,22248,GOLD LOAN,1044964,63105
Great Eastern,MALE,43,DOCTOR,SINGLE,4,55407,24413,HOUSING,1042737,57977
Great Eastern,MALE,43,TEACHER,MARRIED,3,34275,29967,BOOK STORES,1021994,39955
Great Eastern,MALE,43,CIVIL ENGINEER,MARRIED,4,34775,13999,HOUSING,1065577,19999
Great Eastern,MALE,43,CIVIL ENGINEER,MARRIED,4,35275,13999,HOUSING,1065577,19999
Great Eastern,MALE,43,CIVIL ENGINEER,MARRIED,4,35775,13999,HOUSING,1065577,19999
Great Eastern,MALE,43,PILOT,SINGLE,2,36275,47037,BUSINESS,1042400,34044
Great Eastern,MALE,43,DOCTOR,SINGLE,7,68366,30258,TRAVELLING,1059986,20611
Great Eastern,MALE,43,BANK MANAGER,MARRIED,6,68866,36035,HOUSING,1080007,19931
Great Eastern,MALE,44,PILOT,MARRIED,7,73647,45007,EDUCATIONAL LOAN,1083523,25317
Great Eastern,MALE,44,DATA ENGINEER,MARRIED,6,55675,25670,HOUSING,1067890,34670
Great Eastern,MALE,44,SOFTWARE ENGINEER,SINGLE,5,76970,35379,GOLD LOAN,1090886,13994
Great Eastern,MALE,44,EXECUTIVE,SINGLE,2,57460,48959,BUSINESS,1073372,72858
Great Eastern,MALE,44,ELECTRICIAN,MARRIED,5,70449,43518,GOLD LOAN,1092176,64685
Great Eastern,MALE,44,SOFTWARE ENGINEER,SINGLE,5,70949,30379,GOLD LOAN,1090886,13994
Great Eastern,MALE,44,FIRE DEPARTMENT,MARRIED,2,77805,16699,HOUSING,1115164,87189
Great Eastern,MALE,44,DATA ENGINEER,MARRIED,7,62760,21568,GOLD LOAN,1111608,36170
Great Eastern,MALE,44,DIETICIAN,SINGLE,3,63260,16863,BUSINESS,1118207,32059
Great Eastern,MALE,44,TECHNICIAN,MARRIED,3,37938,33048,RESTAURANTS,1130589,46120
Great Eastern,MALE,44,DOCTOR,SINGLE,4,50407,34413,AGRICULTURE,1143937,57977
Great Eastern,MALE,45,POLICE,MARRIED,5,58501,28744,GOLD LOAN,1160365,55397
Great Eastern,MALE,45,BUSINESS,MARRIED,3,59001,49473,HOUSING,1178327,18187
Great Eastern,MALE,45,DATA ENGINEER,MARRIED,3,47668,35078,COMPUTER SOFTWARES,1151809,18320
Great Eastern,MALE,45,EXECUTIVE,SINGLE,2,67460,45959,BUSINESS,1173372,62858
Great Eastern,MALE,45,CLERK,MARRIED,7,61207,15955,GOLD LOAN,1172914,20405
Great Eastern,MALE,45,TEACHER,MARRIED,5,75106,16733,HOME APPLIANCES,1190732,57254
Great Eastern,MALE,45,CHARTERED APPRAISER,SINGLE,2,75606,40734,DINNING,1193808,23946
Great Eastern,MALE,45,SOFTWARE ENGINEER,SINGLE,3,76106,42591,TRAVELLING,1179496,58257
Great Eastern,MALE,45,SOFTWARE ENGINEER,MARRIED,4,39512,26373,RESTAURANTS,1177000,48098
Great Eastern,MALE,45,DRIVER,MARRIED,6,40838,25788,AGRICULTURE,1182282,37338
Great Eastern,MALE,45,DRIVER,MARRIED,6,35838,19788,AGRICULTURE,1182282,37338
Great Eastern,MALE,45,BUSINESS,MARRIED,2,36338,22796,RESTAURANT,1192379,14820
Great Eastern,MALE,46,ASSISTANT MANAGER,MARRIED,5,59392,25605,GOLD LOAN,1219814,39948
Great Eastern,MALE,46,TEACHER,MARRIED,6,46619,18675,HOUSING,1209867,29999
Great Eastern,MALE,46,DRIVER,SINGLE,7,45362,35895,HOUSING,1216455,83458
Great Eastern,MALE,47,TEACHER,MARRIED,5,45862,20185,GOLD LOAN,1218291,71089
Great Eastern,MALE,47,EXECUTIVE,MARRIED,4,63078,31903,EDUCATIONAL LOAN,1244717,30314
Great Eastern,MALE,47,PROFESSOR,SINGLE,5,62145,31254,BOOK STORES,1245789,48596
Great Eastern,MALE,47,PROFESSOR,SINGLE,5,62145,31254,AUTOMOBILE,1245789,48596
Great Eastern,MALE,47,SOFTWARE ENGINEER,SINGLE,2,31107,21316,GOLD LOAN,1216788,76049
Great Eastern,MALE,47,PRODUCT ENGINEER,MARRIED,4,67184,17813,HOUSING,1254038,80008
Great Eastern,MALE,48,NURSE,MARRIED,5,36784,43518,HOUSING,1232534,60243
Great Eastern,MALE,48,BANK MANAGER,SINGLE,3,68918,30676,AUTOMOBILE,1265945,16997
Great Eastern,MALE,48,PILOT,MARRIED,7,83647,43007,EDUCATIONAL LOAN,1283523,28317
Great Eastern,MALE,48,PILOT,MARRIED,7,63647,41007,AGRICULTURE,1283523,28317
Great Eastern,MALE,48,BUSINESS,MARRIED,4,46477,43292,HOUSING,1268582,70231
Great Eastern,MALE,49,DOCTOR,SINGLE,4,60111,27111,TRAVELLING,1290929,18000
Great Eastern,MALE,49,CHARTERED APPRAISER,SINGLE,4,58661,42768,GOLD LOAN,1290966,72021
Great Eastern,MALE,49,DRIVER,MARRIED,2,35558,16169,GOLD LOAN,1268932,48649
Great Eastern,MALE,49,DATA ANALYST,MARRIED,6,31948,19502,HOUSING,1286679,79111
Great Eastern,MALE,49,BUSINESS,MARRIED,6,66922,26423,AGRICULTURE,1322197,12086
Great Eastern,MALE,49,TEACHER,MARRIED,3,57578,23000,EDUCATIONAL LOAN,1314542,68060
Great Eastern,MALE,49,TEACHER,SINGLE,2,46182,33404,RESTAURANTS,1337967,75552
Great Eastern,MALE,49,BUSINESS,MARRIED,3,78777,19473,HOUSING,1378327,18187
Great Eastern,MALE,49,CHARTERED APPRAISER,MARRIED,2,81225,29463,GOLD LOAN,1389600,30686
Great Eastern,MALE,49,PILOT,SINGLE,7,81725,39629,RESTAURANT,1392577,85269
Great Eastern,MALE,49,PILOT,SINGLE,7,82225,49629,HOUSING,1392577,25269
Great Eastern,MALE,49,CLERK,SINGLE,5,51555,12052,EDUCATIONAL LOAN,1377455,29981
Great Eastern,MALE,49,NAVY,SINGLE,4,77699,12482,AUTOMOBILE,1410206,57206
Income,MALE,50,DOCTOR,MARRIED,7,63495,12411,SHOPPING,1404969,74273
Income,MALE,50,PILOT,MARRIED,4,63745,17148,AUTOMOBILE,1406697,74279
Income,MALE,51,CHARTERED APPRAISER,SINGLE,5,74179,31530,BUSINESS,1428709,66854
Income,MALE,51,EXECUTIVE,MARRIED,5,78167,33036,BUSINESS,1447560,20435
Income,MALE,51,POLICE,SINGLE,4,80769,41529,AGRICULTURE,1458057,74975
Income,MALE,51,TECHNICIAN,MARRIED,2,76379,28348,COMPUTER SOFTWARES,1456414,32127
Income,MALE,51,ARMY,MARRIED,3,76879,21107,GOLD LOAN,1474593,73518
Income,MALE,51,DRIVER,SINGLE,4,61021,16440,RESTAURANTS,1470269,59449
Income,MALE,51,CLERK,MARRIED,3,42792,15247,RESTAURANTS,1452637,13547
Income,MALE,51,TEACHER,MARRIED,2,63953,18376,RESTAURANTS,1479399,69956
Income,MALE,51,POLICE,SINGLE,5,38501,48744,GOLD LOAN,1460365,55397
Income,MALE,51,DATA ENGINEER,MARRIED,7,82760,23568,GOLD LOAN,1513708,56170
Income,MALE,51,POLICE,WIDOWED,2,57319,30980,HOUSING,1488726,57758
Income,MALE,52,ACCOUNTANT,SINGLE,5,75290,35549,HOUSING,1522824,71187
Income,MALE,52,TEACHER,SINGLE,7,53832,18748,GOLD LOAN,1503911,50787
Income,MALE,52,TECHNICIAN,MARRIED,6,41819,23703,GOLD LOAN,1496478,16378
Income,MALE,52,FIRE DEPARTMENT,MARRIED,5,63213,26457,TRAVELLING,1524789,90000
Income,MALE,52,FIRE DEPARTMENT,MARRIED,5,45213,32457,TRAVELLING,1524789,90000
Income,MALE,52,FIRE DEPARTMENT,MARRIED,5,45213,32457,TRAVELLING,1524789,90000
Income,MALE,52,FIRE DEPARTMENT,MARRIED,5,45213,32457,TRAVELLING,1524789,90000
Income,MALE,53,FIRE DEPARTMENT,MARRIED,5,43213,22457,TRAVELLING,1524789,90000
Income,MALE,53,ACCOUNTANT,SINGLE,3,76844,27358,RESTAURANT,1582924,73033
Income,MALE,54,TEACHER,MARRIED,4,42978,29709,GOLD LOAN,1552596,44746
Income,MALE,54,TEACHER,MARRIED,3,68366,19339,GOLD LOAN,1585799,82089
Income,MALE,54,TECHNICIAN,MARRIED,6,80241,41526,AUTOMOBILE,1599511,87885
Income,MALE,54,ACCOUNT MANAGER,MARRIED,4,800000,15632,AUTOMOBILE,2365478,20145
Income,MALE,54,ACCOUNT MANAGER,MARRIED,4,800000,15632,COMPUTER SOFTWARES,2365478,20145
Income,MALE,54,ACCOUNT MANAGER,MARRIED,4,800000,15632,COMPUTER SOFTWARES,2365478,20145
Income,MALE,54,DATA ANALYST,MARRIED,2,80438,27773,GOLD LOAN,1649570,79727
Income,MALE,54,SYSTEM ENGINEER,MARRIED,6,76800,43518,TRAVELLING,1659080,29000
Income,MALE,54,TECHNICIAN,MARRIED,7,79600,41011,BUSINESS,1663696,13355
Income,MALE,54,ACCOUNTANT,SINGLE,7,43350,31632,AUTOMOBILE,1630901,79235
Income,MALE,54,TECHNICIAN,SINGLE,3,42304,21760,BUSINESS,1630952,21031
Income,MALE,55,FARMER,MARRIED,5,42804,34686,TRAVELLING,1632809,54198
Income,MALE,55,DOCTOR,MARRIED,2,51829,32429,BUSINESS,1643435,16469
Income,MALE,55,NAVY,SINGLE,3,52329,47555,AUTOMOBILE,1668435,54235
Income,MALE,55,NAVY,MARRIED,7,47356,28491,GOLD LOAN,1648683,59025
Income,MALE,55,CHARTERED APPRAISER,SINGLE,6,65023,49118,RESTAURANTS,1670805,45808
Income,MALE,55,SOFTWARE ENGINEER,MARRIED,2,76637,45083,EDUCATIONAL LOAN,1692266,23537
Income,MALE,56,SOFTWARE ENGINEER,MARRIED,2,71637,41083,EDUCATIONAL LOAN,1692266,23537
Income,MALE,56,CHARTERED APPRAISER,MARRIED,7,65630,30346,RESTAURANTS,1695573,49538
Income,MALE,56,DOCTOR,SINGLE,7,28366,29258,GOLD LOAN,1659986,20611
Income,MALE,56,BUSINESS,MARRIED,6,37585,36062,GOLD LOAN,1672628,13765
Income,MALE,56,SOFTWARE ENGINEER,SINGLE,4,38085,43464,ELECTRONICS,1719010,86384
Income,MALE,56,ACCOUNTANT,SINGLE,7,46086,27201,AGRICULTURE,1682942,29654
Income,MALE,56,AIRPORT OFFICER,MARRIED,7,46586,28032,HOUSING,1691451,64718
Income,MALE,56,DIETICIAN,SINGLE,3,47086,41529,GOLD LOAN,1694354,35876
Income,MALE,56,AGRICULTURAL ENGINEER,MARRIED,7,47586,47790,GOLD LOAN,1724031,75334
Income,MALE,56,SOFTWARE ENGINEER,MARRIED,2,69663,23569,BUSINESS,1723786,47624
Income,MALE,56,ACCOUNT MANAGER,MARRIED,4,700000,15632,COMPUTER SOFTWARES,2365478,20145
Income,MALE,56,PILOT,MARRIED,2,81714,43790,GOLD LOAN,1749832,58061
Income,MALE,56,BUSINESS,SINGLE,2,53957,34709,GOLD LOAN,1765055,37815
Income,MALE,56,PILOT,MARRIED,6,54457,43705,COMPUTER SOFTWARES,1769239,20536
Income,MALE,57,DRIVER,SINGLE,2,47217,16575,GOLD LOAN,1773297,40373
Income,MALE,57,BANK MANAGER,SINGLE,5,29565,19490,HOUSING,1767908,72653
Income,MALE,58,AIRPORT OFFICER,MARRIED,6,81000,62541,DINNING,2045789,16599
Income,MALE,58,AIRPORT OFFICER,MARRIED,6,80000,32541,AUTOMOBILE,2045789,16599
Income,MALE,58,AIRPORT OFFICER,MARRIED,6,80000,62541,AUTOMOBILE,2045789,16599
Income,MALE,58,AIRPORT OFFICER,MARRIED,6,80000,62541,HOUSING,2045789,16599
Income,MALE,58,AIRPORT OFFICER,MARRIED,6,80000,62541,HOUSING,2045789,16599
Income,MALE,58,AIRPORT OFFICER,MARRIED,6,80000,42541,HOUSING,2045789,16599
Income,MALE,58,AIRPORT OFFICER,MARRIED,6,80000,39541,HOUSING,2045789,16599
Income,MALE,59,MANAGER,SINGLE,3,42516,24567,AUTOMOBILE,2569874,89652
Income,MALE,59,MANAGER,SINGLE,3,42516,24567,EDUCATIONAL LOAN,2569874,89652
Income,MALE,59,TEACHER,MARRIED,4,59999,42568,AUTOMOBILE,5214789,17452
Income,MALE,59,CORPORATE OFFICER,MARRIED,3,52143,43518,COMPUTER SOFTWARES,7541236,11111
Income,MALE,59,CORPORATE OFFICER,MARRIED,3,52143,43518,AUTOMOBILE,7541236,11111
Raffles,FEMALE,61,CLERK,MARRIED,3,750000,25641,GOLD LOAN,214569,16324
Raffles,FEMALE,61,BANK MANAGER,MARRIED,4,930000,35680,HOUSING,679040,34000
Raffles,FEMALE,64,PRODUCT ENGINEER,MARRIED,6,118927,29000,SHOPPING,80660,4500
Raffles,FEMALE,64,SOFTWARE ENGINEER,MARRIED,6,112333,29000,COMPUTER SOFTWARES,80660,4500
Raffles,FEMALE,64,DRIVER,MARRIED,3,42792,25854,GOLD LOAN,15350,64906
Raffles,FEMALE,64,PRODUCT ENGINEER,MARRIED,6,105739,29000,COMPUTER SOFTWARES,80660,4500
Raffles,FEMALE,64,DATA ANALYST,SINGLE,4,60111,28999,AUTOMOBILE,35232,33333
Raffles,FEMALE,64,DATA ANALYST,SINGLE,4,60111,28999,RESTAURANTS,35232,33333
Raffles,FEMALE,64,DATA ANALYST,SINGLE,4,60111,28999,RESTAURANTS,35232,33333
Raffles,FEMALE,64,CLERK,MARRIED,7,78409,18566,TRAVELLING,54177,15938
Raffles,FEMALE,64,TEACHER,MARRIED,5,50099,29999,RESTAURANTS,30999,12000
Raffles,FEMALE,65,TEACHER,MARRIED,5,48099,19999,RESTAURANTS,30999,12000
Raffles,FEMALE,66,TEACHER,MARRIED,5,48099,19999,RESTAURANTS,30999,12000
Raffles,FEMALE,66,TEACHER,MARRIED,5,48099,19999,RESTAURANTS,30999,12000
Raffles,FEMALE,66,TEACHER,MARRIED,5,48099,19999,RESTAURANTS,30999,12000
Raffles,FEMALE,66,TEACHER,MARRIED,5,48099,19999,RESTAURANTS,30999,12000
Raffles,FEMALE,66,TEACHER,MARRIED,5,48099,19999,TRAVELLING,30999,12000
Raffles,FEMALE,66,TEACHER,MARRIED,5,45099,21999,RESTAURANTS,30999,12000
Raffles,FEMALE,67,PROFESSOR,MARRIED,6,59000,19999,AUTOMOBILE,50000,33999
Raffles,FEMALE,67,ASSISTANT PROFESSOR,MARRIED,6,54999,25888,SHOPPING,47787,50000
Raffles,FEMALE,67,PROFESSOR,MARRIED,6,51000,19999,SHOPPING,50000,33999
Raffles,FEMALE,67,PROFESSOR,MARRIED,6,51000,19999,SHOPPING,50000,33999
Raffles,FEMALE,67,SYSTEM MANAGER,MARRIED,3,59999,29111,ELECTRONICS,60676,13000
Raffles,FEMALE,68,PRODUCT ENGINEER,MARRIED,6,79363,29000,COMPUTER SOFTWARES,80660,4500
AXA,FEMALE,68,SOFTWARE ENGINEER,MARRIED,5,55999,23999,AUTOMOBILE,60999,0
Raffles,FEMALE,68,SOFTWARE ENGINEER,MARRIED,5,55999,23999,HOME APPLIANCES,60999,0
Raffles,FEMALE,68,SOFTWARE ENGINEER,MARRIED,6,74757,32000,COMPUTER SOFTWARES,80660,4500
Raffles,FEMALE,68,NURSE,MARRIED,6,38999,24888,SHOPPING,47787,50000
Raffles,FEMALE,69,SYSTEM MANAGER,MARRIED,3,49999,19111,RESTAURANTS,60676,13000
Raffles,FEMALE,69,SYSTEM MANAGER,MARRIED,3,49999,19111,ELECTRONICS,60676,13000
Raffles,FEMALE,69,SYSTEM MANAGER,MARRIED,3,49999,19111,ELECTRONICS,60676,13000
Raffles,FEMALE,69,SYSTEM MANAGER,MARRIED,3,49999,19111,ELECTRONICS,60676,13000
Raffles,FEMALE,69,NURSE,MARRIED,6,34999,19888,AUTOMOBILE,47787,50000
Raffles,FEMALE,69,NURSE,MARRIED,6,34999,19888,TRAVELLING,47787,50000
Raffles,FEMALE,69,NURSE,MARRIED,6,34999,19888,SHOPPING,47787,50000
Raffles,FEMALE,69,NURSE,MARRIED,6,34999,19888,SHOPPING,47787,50000
Raffles,MALE,64,ASSISTANT PROFESSOR,MARRIED,6,34999,19888,SHOPPING,47787,50000
Raffles,MALE,64,DENTIST,SINGLE,3,58450,27675,TRAVELLING,75000,20876
Raffles,MALE,64,DENTIST,SINGLE,3,58450,27675,TRAVELLING,75000,20876
Raffles,MALE,64,DENTIST,SINGLE,3,58450,27675,TRAVELLING,75000,20876
Raffles,MALE,64,SYSTEM MANAGER,MARRIED,3,39999,19111,AUTOMOBILE,60676,13000
Raffles,MALE,64,PRODUCT ENGINEER,MARRIED,6,40499,29000,COMPUTER SOFTWARES,80660,4500
Raffles,MALE,64,SYSTEM OFFICER,MARRIED,6,75250,32541,EDUCATIONAL LOAN,102256,14256
Prudential,MALE,64,SYSTEM OFFICER,MARRIED,6,75250,32541,EDUCATIONAL LOAN,102256,14256
Raffles,MALE,65,SYSTEM OFFICER,MARRIED,6,75250,35541,EDUCATIONAL LOAN,102256,14256
Raffles,MALE,65,PRODUCT ENGINEER,MARRIED,6,75750,29000,SHOPPING,80660,4500
Raffles,MALE,65,PRODUCT ENGINEER,MARRIED,6,76250,26000,COMPUTER SOFTWARES,80660,4500
Raffles,MALE,65,PRODUCT ENGINEER,MARRIED,6,76750,29000,AUTOMOBILE,80660,4500
Raffles,MALE,65,FIRE DEPARTMENT,MARRIED,4,40000,18888,AUTOMOBILE,70000,0
Raffles,MALE,65,BANK MANAGER,MARRIED,4,45999,14500,TRAVELLING,79999,6700
Raffles,MALE,65,BANK MANAGER,MARRIED,4,45999,14500,TRAVELLING,79999,6700
Raffles,MALE,65,BANK MANAGER,MARRIED,4,45999,14500,HOME APPLIANCES,79999,6700
Raffles,MALE,66,BANK MANAGER,MARRIED,4,45999,14500,TRAVELLING,79999,6700
Raffles,MALE,66,DIETICIAN,MARRIED,2,46499,24376,BUILDING,95270,30385
Raffles,MALE,66,FARMER,SINGLE,3,51162,12591,AGRICULTURE,104758,75535
Raffles,MALE,66,CLERK,SINGLE,3,35000,9000,GOLD LOAN,100000,12584
Prudential,MALE,66,FARMER,MARRIED,7,35500,40246,AGRICULTURE,109000,28764
Raffles,MALE,66,DATA ENGINEER,SINGLE,6,42827,36410,RESTAURANT,125982,75739
Raffles,MALE,67,TEACHER,SINGLE,4,49370,21720,SHOPPING,140556,40378
